Date,Content,Video title,Video publish time,Duration,Views
2026-02-19,R-Rj9Vv4fCo,A #juliette foi curtir o desfile da #beijaflor no camarote!,"Feb 17, 2026",5,166289
2026-02-20,R-Rj9Vv4fCo,A #juliette foi curtir o desfile da #beijaflor no camarote!,"Feb 17, 2026",5,30063
2026-01-24,hawPzXUYA9Q,Vini Jr faz desabafo forte e emociona fãs 😢⚽,"Feb 18, 2026",6,0
2026-01-25,hawPzXUYA9Q,Vini Jr faz desabafo forte e emociona fãs 😢⚽,"Feb 18, 2026",6,0
2026-01-26,hawPzXUYA9Q,Vini Jr faz desabafo forte e emociona fãs 😢⚽,"Feb 18, 2026",6,0
2026-01-27,hawPzXUYA9Q,Vini Jr faz desabafo forte e emociona fãs 😢⚽,"Feb 18, 2026",6,0
2026-01-28,hawPzXUYA9Q,Vini Jr faz desabafo forte e emociona fãs 😢⚽,"Feb 18, 2026",6,0
2026-01-29,hawPzXUYA9Q,Vini Jr faz desabafo forte e emociona fãs 😢⚽,"Feb 18, 2026",6,0
2026-01-30,hawPzXUYA9Q,Vini Jr faz desabafo forte e emociona fãs 😢⚽,"Feb 18, 2026",6,0
2026-01-31,hawPzXUYA9Q,Vini Jr faz desabafo forte e emociona fãs 😢⚽,"Feb 18, 2026",6,0
2026-02-01,hawPzXUYA9Q,Vini Jr faz desabafo forte e emociona fãs 😢⚽,"Feb 18, 2026",6,0
2026-02-02,hawPzXUYA9Q,Vini Jr faz desabafo forte e emociona fãs 😢⚽,"Feb 18, 2026",6,0
2026-02-03,hawPzXUYA9Q,Vini Jr faz desabafo forte e emociona fãs 😢⚽,"Feb 18, 2026",6,0
2026-02-04,hawPzXUYA9Q,Vini Jr faz desabafo forte e emociona fãs 😢⚽,"Feb 18, 2026",6,0
2026-02-05,hawPzXUYA9Q,Vini Jr faz desabafo forte e emociona fãs 😢⚽,"Feb 18, 2026",6,0
2026-02-06,hawPzXUYA9Q,Vini Jr faz desabafo forte e emociona fãs 😢⚽,"Feb 18, 2026",6,0
2026-02-07,hawPzXUYA9Q,Vini Jr faz desabafo forte e emociona fãs 😢⚽,"Feb 18, 2026",6,0
2026-02-08,hawPzXUYA9Q,Vini Jr faz desabafo forte e emociona fãs 😢⚽,"Feb 18, 2026",6,0
2026-02-09,hawPzXUYA9Q,Vini Jr faz desabafo forte e emociona fãs 😢⚽,"Feb 18, 2026",6,0
2026-02-10,hawPzXUYA9Q,Vini Jr faz desabafo forte e emociona fãs 😢⚽,"Feb 18, 2026",6,0
2026-02-11,hawPzXUYA9Q,Vini Jr faz desabafo forte e emociona fãs 😢⚽,"Feb 18, 2026",6,0
2026-02-12,hawPzXUYA9Q,Vini Jr faz desabafo forte e emociona fãs 😢⚽,"Feb 18, 2026",6,0
2026-02-13,hawPzXUYA9Q,Vini Jr faz desabafo forte e emociona fãs 😢⚽,"Feb 18, 2026",6,0
2026-02-14,hawPzXUYA9Q,Vini Jr faz desabafo forte e emociona fãs 😢⚽,"Feb 18, 2026",6,0
2026-02-15,hawPzXUYA9Q,Vini Jr faz desabafo forte e emociona fãs 😢⚽,"Feb 18, 2026",6,0
2026-02-16,hawPzXUYA9Q,Vini Jr faz desabafo forte e emociona fãs 😢⚽,"Feb 18, 2026",6,0
2026-02-17,hawPzXUYA9Q,Vini Jr faz desabafo forte e emociona fãs 😢⚽,"Feb 18, 2026",6,0
2026-02-18,hawPzXUYA9Q,Vini Jr faz desabafo forte e emociona fãs 😢⚽,"Feb 18, 2026",6,29257
2026-02-19,hawPzXUYA9Q,Vini Jr faz desabafo forte e emociona fãs 😢⚽,"Feb 18, 2026",6,90064
2026-02-20,hawPzXUYA9Q,Vini Jr faz desabafo forte e emociona fãs 😢⚽,"Feb 18, 2026",6,169386
2026-01-24,naxTBzUqjG8,Léo Santana exalta Lore Improta grávida após título da Viradouro,"Feb 19, 2026",9,0
2026-01-25,naxTBzUqjG8,Léo Santana exalta Lore Improta grávida após título da Viradouro,"Feb 19, 2026",9,0
2026-01-26,naxTBzUqjG8,Léo Santana exalta Lore Improta grávida após título da Viradouro,"Feb 19, 2026",9,0
2026-01-27,naxTBzUqjG8,Léo Santana exalta Lore Improta grávida após título da Viradouro,"Feb 19, 2026",9,0
2026-01-28,naxTBzUqjG8,Léo Santana exalta Lore Improta grávida após título da Viradouro,"Feb 19, 2026",9,0
2026-01-29,naxTBzUqjG8,Léo Santana exalta Lore Improta grávida após título da Viradouro,"Feb 19, 2026",9,0
2026-01-30,naxTBzUqjG8,Léo Santana exalta Lore Improta grávida após título da Viradouro,"Feb 19, 2026",9,0
2026-01-31,naxTBzUqjG8,Léo Santana exalta Lore Improta grávida após título da Viradouro,"Feb 19, 2026",9,0
2026-02-01,naxTBzUqjG8,Léo Santana exalta Lore Improta grávida após título da Viradouro,"Feb 19, 2026",9,0
2026-02-02,naxTBzUqjG8,Léo Santana exalta Lore Improta grávida após título da Viradouro,"Feb 19, 2026",9,0
2026-02-03,naxTBzUqjG8,Léo Santana exalta Lore Improta grávida após título da Viradouro,"Feb 19, 2026",9,0
2026-02-04,naxTBzUqjG8,Léo Santana exalta Lore Improta grávida após título da Viradouro,"Feb 19, 2026",9,0
2026-02-05,naxTBzUqjG8,Léo Santana exalta Lore Improta grávida após título da Viradouro,"Feb 19, 2026",9,0
2026-02-06,naxTBzUqjG8,Léo Santana exalta Lore Improta grávida após título da Viradouro,"Feb 19, 2026",9,0
2026-02-07,naxTBzUqjG8,Léo Santana exalta Lore Improta grávida após título da Viradouro,"Feb 19, 2026",9,0
2026-02-08,naxTBzUqjG8,Léo Santana exalta Lore Improta grávida após título da Viradouro,"Feb 19, 2026",9,0
2026-02-09,naxTBzUqjG8,Léo Santana exalta Lore Improta grávida após título da Viradouro,"Feb 19, 2026",9,0
2026-02-10,naxTBzUqjG8,Léo Santana exalta Lore Improta grávida após título da Viradouro,"Feb 19, 2026",9,0
2026-02-11,naxTBzUqjG8,Léo Santana exalta Lore Improta grávida após título da Viradouro,"Feb 19, 2026",9,0
2026-02-12,naxTBzUqjG8,Léo Santana exalta Lore Improta grávida após título da Viradouro,"Feb 19, 2026",9,0
2026-02-13,naxTBzUqjG8,Léo Santana exalta Lore Improta grávida após título da Viradouro,"Feb 19, 2026",9,0
2026-02-14,naxTBzUqjG8,Léo Santana exalta Lore Improta grávida após título da Viradouro,"Feb 19, 2026",9,0
2026-02-15,naxTBzUqjG8,Léo Santana exalta Lore Improta grávida após título da Viradouro,"Feb 19, 2026",9,0
2026-02-16,naxTBzUqjG8,Léo Santana exalta Lore Improta grávida após título da Viradouro,"Feb 19, 2026",9,0
2026-02-17,naxTBzUqjG8,Léo Santana exalta Lore Improta grávida após título da Viradouro,"Feb 19, 2026",9,0
2026-02-18,naxTBzUqjG8,Léo Santana exalta Lore Improta grávida após título da Viradouro,"Feb 19, 2026",9,0
2026-02-19,naxTBzUqjG8,Léo Santana exalta Lore Improta grávida após título da Viradouro,"Feb 19, 2026",9,309387
2026-02-20,naxTBzUqjG8,Léo Santana exalta Lore Improta grávida após título da Viradouro,"Feb 19, 2026",9,115737
2026-01-24,wdg7-enbcTI,#mileidemihaile QUEBROU TUDO na #unidosdatijuca,"Feb 17, 2026",7,0
2026-01-25,wdg7-enbcTI,#mileidemihaile QUEBROU TUDO na #unidosdatijuca,"Feb 17, 2026",7,0
2026-01-26,wdg7-enbcTI,#mileidemihaile QUEBROU TUDO na #unidosdatijuca,"Feb 17, 2026",7,0
2026-01-27,wdg7-enbcTI,#mileidemihaile QUEBROU TUDO na #unidosdatijuca,"Feb 17, 2026",7,0
2026-01-28,wdg7-enbcTI,#mileidemihaile QUEBROU TUDO na #unidosdatijuca,"Feb 17, 2026",7,0
2026-01-29,wdg7-enbcTI,#mileidemihaile QUEBROU TUDO na #unidosdatijuca,"Feb 17, 2026",7,0
2026-01-30,wdg7-enbcTI,#mileidemihaile QUEBROU TUDO na #unidosdatijuca,"Feb 17, 2026",7,0
2026-01-31,wdg7-enbcTI,#mileidemihaile QUEBROU TUDO na #unidosdatijuca,"Feb 17, 2026",7,0
2026-02-01,wdg7-enbcTI,#mileidemihaile QUEBROU TUDO na #unidosdatijuca,"Feb 17, 2026",7,0
2026-02-02,wdg7-enbcTI,#mileidemihaile QUEBROU TUDO na #unidosdatijuca,"Feb 17, 2026",7,0
2026-02-03,wdg7-enbcTI,#mileidemihaile QUEBROU TUDO na #unidosdatijuca,"Feb 17, 2026",7,0
2026-02-04,wdg7-enbcTI,#mileidemihaile QUEBROU TUDO na #unidosdatijuca,"Feb 17, 2026",7,0
2026-02-05,wdg7-enbcTI,#mileidemihaile QUEBROU TUDO na #unidosdatijuca,"Feb 17, 2026",7,0
2026-02-06,wdg7-enbcTI,#mileidemihaile QUEBROU TUDO na #unidosdatijuca,"Feb 17, 2026",7,0
2026-02-07,wdg7-enbcTI,#mileidemihaile QUEBROU TUDO na #unidosdatijuca,"Feb 17, 2026",7,0
2026-02-08,wdg7-enbcTI,#mileidemihaile QUEBROU TUDO na #unidosdatijuca,"Feb 17, 2026",7,0
2026-02-09,wdg7-enbcTI,#mileidemihaile QUEBROU TUDO na #unidosdatijuca,"Feb 17, 2026",7,0
2026-02-10,wdg7-enbcTI,#mileidemihaile QUEBROU TUDO na #unidosdatijuca,"Feb 17, 2026",7,0
2026-02-11,wdg7-enbcTI,#mileidemihaile QUEBROU TUDO na #unidosdatijuca,"Feb 17, 2026",7,0
2026-02-12,wdg7-enbcTI,#mileidemihaile QUEBROU TUDO na #unidosdatijuca,"Feb 17, 2026",7,0
2026-02-13,wdg7-enbcTI,#mileidemihaile QUEBROU TUDO na #unidosdatijuca,"Feb 17, 2026",7,0
2026-02-14,wdg7-enbcTI,#mileidemihaile QUEBROU TUDO na #unidosdatijuca,"Feb 17, 2026",7,0
2026-02-15,wdg7-enbcTI,#mileidemihaile QUEBROU TUDO na #unidosdatijuca,"Feb 17, 2026",7,0
2026-02-16,wdg7-enbcTI,#mileidemihaile QUEBROU TUDO na #unidosdatijuca,"Feb 17, 2026",7,0
2026-02-17,wdg7-enbcTI,#mileidemihaile QUEBROU TUDO na #unidosdatijuca,"Feb 17, 2026",7,65851
2026-02-18,wdg7-enbcTI,#mileidemihaile QUEBROU TUDO na #unidosdatijuca,"Feb 17, 2026",7,130080
2026-02-19,wdg7-enbcTI,#mileidemihaile QUEBROU TUDO na #unidosdatijuca,"Feb 17, 2026",7,124775
2026-02-20,wdg7-enbcTI,#mileidemihaile QUEBROU TUDO na #unidosdatijuca,"Feb 17, 2026",7,40946
